author,title,summary
Frank Diana,Digital Transformation of Business and Society – Frank Diana – Medium,"With regard to future thinking, Gerd used my future scenario slide to describe both the exponential and combinatorial nature of future scenarios — not only do we need to think exponentially, but we also need to think in a combinatorial manner. My take: Gerd is an evangelist for creating our future in a way that avoids hellish outcomes — and kudos to him for being that voice
“The best way to predict the future is to create it” (Alan Kay). My take: Future thinking is critical for us to be effective here. My take: These considerations allow us to create the future in a way that avoids unintended consequences. Here are some snapshots from his presentation:
Gerd then summarized the session as follows:
The future is exponential, combinatorial, and interdependent: the sooner we can adjust our thinking (lateral) the better we will be at designing our future. My take: Gerd hits on a key point. My Take: our context when we think about the future puts it years away, and that is just not the case anymore. As Gerd describes, he is a Futurist focused on foresight and observations — not predicting the future. He then described our current pivot point of exponential change: a point in history where humanity will change more in the next twenty years than in the previous 300. We are at a point in history where every company needs a Gerd Leonhard."
Rand Hindi,How Artificial Intelligence Will Make Technology Disappear,"This time, it is not 1, but 3 devices that are connected: a computer, a phone, and a tablet. In this era, called “Ubiquitous Computing”, adding new connected devices does not add friction, it actually adds value! The trouble is that since these devices don’t know which one you are currently using, the default strategy has been to push all notifications on all devices. Back in 1990, we didn’t have any connected devices. Taking the connected devices curve, and subtracting the one for A.I., we see that the overall friction keeps increasing over the next few years until the point where A.I. In fact, knowing the exact place we are at is essential to predict our intentions, since most of the things we do with our devices are based on what we are doing in the real world. For example, our phones and computers will be smart enough to know where to route the notifications. Building this ubiquitous computing future relies on giving devices the ability to sense and react to the current context, which is called “context-awareness”. Like when someone calls you on your phone, and it also rings on your computer, and actually keeps ringing after you’ve answered it on one of your devices! But in the evening, when we got back to the hotel and connected to the WiFi, our phones would immediately start pushing an entire day’s worth of notifications, constantly interrupting our special time together."
samim,Obama-RNN — Machine generated political speeches. – samim – Medium,Good bless the United States of America. Good bless the United States of America. God bless you. Thank you. Thank you. Good day. On this note: God bless you. Step 3 is to test the model which automatically generates an unlimited amount of new speeches in the vein of Obama ́s previous speeches. Here is a selection of some of my favorite speeches the Obama-RNN generated so far. All of Obama’s speeches are conveniently readable here.
Adam Geitgey,Machine Learning is Fun! Part 2 – Adam Geitgey – Medium,"Once I had all that data, I could use it to build a neural network to model how likely it is that you would start with any given letter. There just aren’t enough levels in the original Super Mario Brothers game to provide enough data for a really good model. I ended up with text files that looked like this:
Looking at the text file, you can see that Mario levels don’t really have much of a pattern if you read them line-by-line:
The patterns in a level really emerge when you think of the level as a series of columns:
So in order for the algorithm to find the patterns in our data, we need to feed the data in column-by-column. First, we need a data set for training our model. Because of this, it can model more cases than we could capture in one simple model. Let’s say I need to guess the next letter you are going to type at any point in your story. Can we use the same model that generated fake Hemingway text to generate fake Super Mario Brothers levels? With a lot more training, the model gets to the point where it generates perfectly valid data:
Let’s sample an entire level’s worth of data from our model and rotate it back horizontal:
This data looks great! Let’s use the first few words of Ernest Hemingway’s The Sun Also Rises as an example:
What letter is going to come next? But the one thing this kind of model can’t do is respond to patterns in data over time."
Arthur Juliani,Simple Reinforcement Learning with Tensorflow Part 0: Q-Learning with Tables and Neural Networks,"By updating in this way, the table slowly begins to obtain accurate measures of the expected future reward for a given action in a given state. We make updates to our Q-table using something called the Bellman equation, which states that the expected long-term reward for a given action is equal to the immediate reward from the current action combined with the expected reward from the best future action taken at the following state. In it’s simplest implementation, Q-Learning is a table of values for every state (row) and action (column) possible in the environment. We instead need some way to take a description of our state, and produce Q-values for actions without a table: that is where neural networks come in. In equation form, the rule looks like this:
This says that the Q-value for a given state (s) and action (a) should represent the current reward (r) plus the maximum discounted (γ) future reward expected according to our own table for the next state (s’) we would end up in. Instead of starting with a complex and unwieldy deep neural network, we will begin by implementing a simple lookup-table version of the algorithm, and then show how to implement a neural-network equivalent using Tensorflow. In the case of the FrozenLake environment, we have 16 possible states (one for each block), and 4 possible actions (the four directions of movement), giving us a 16x4 table of Q-values. Within each cell of the table, we learn a value for how good it is to take a given action within a given state. There are a number of possible extensions to our simple Q-Network which allow for greater performance and more robust learning. Unlike policy gradient methods, which attempt to learn functions which directly map an observation to an action, Q-Learning attempts to learn the value of being in a given state, and taking a specific action there."
Adam Geitgey,Machine Learning is Fun Part 6: How to do Speech Recognition with Deep Learning,"To make this data easier for a neural network to process, we are going to break apart this complex sound wave into it’s component parts. Let’s use this sound clip of me saying “Hello”:
Sound waves are one-dimensional. If you know how neural machine translation works, you might guess that we could simply feed sound recordings into a neural network and train it to produce text:
That’s the holy grail of speech recognition with deep learning, but we aren’t quite there yet (at least at the time that I wrote this — I bet that we will be in a couple of years). It breaks apart the complex sound wave into the simple sound waves that make it up. A neural network can find patterns in this kind of data more easily than raw sound waves. We could feed these numbers right into a neural network. In Part 3, we learned how to take an image and treat it as an array of numbers so that we can feed directly into a neural network for image recognition:
But sound is transmitted as waves. Let’s learn how to do speech recognition with deep learning! Let’s zoom in on one tiny part of the sound wave and take a look:
To turn this sound wave into numbers, we just record of the height of the wave at equally-spaced points:
This is called sampling. The first step in speech recognition is obvious — we need to feed sound waves into a computer."
Adam Geitgey,Machine Learning is Fun Part 5: Language Translation with Deep Learning and the Magic of Sequences,"Take this possible translation:
It’s likely that no one has ever written a sentence like this in English, so it would not be very similar to any sentences in our data set. We could use our parallel corpora training data to train it to do that:
And just like that, we have a generic way of converting a sequence of English words into an equivalent sequence of Spanish words! We can come up with an encoding that represents every possible different sentence as a series of unique numbers:
To generate this encoding, we’ll feed the sentence into the RNN, one word at time. Here are some examples:
But in a real-world system, there will be even more possible chunk combinations because we’ll also try different orderings of words and different ways of chunking the sentence:
Now need to scan through all of these generated sentences to find the one that is that sounds the “most human.”
To do this, we compare each generated sentence to millions of real sentences from books and news stories written in English. For example, you can use it to predict the next most likely word in a sentence based on the first few words:
RNNs are useful any time you want to learn patterns in data. But look at this possible translation:
This sentence will be similar to something in our training set, so it will get a high probability score. Statistical machine translation systems perform much better than rule-based systems if you give them enough training data. Then they trained a sequence-to-sequence model where the employee’s question was the input sentence and the Tech Support team’s response was the “translation” of that sentence. Deep learning researchers who know almost nothing about language translation are throwing together relatively simple machine learning solutions that are beating the best expert-built language translation systems in the world. Building a statistics-based translation system requires lots of training data where the exact same text is translated into at least two languages."
Chris Dixon,Eleven Reasons To Be Excited About The Future of Technology,"Flying cars use the same advanced technology used in drones but are large enough to carry people. Self-driving cars exist today that are safer than human-driven cars in most driving conditions. History has shown that while new technology does indeed eliminate jobs, it also creates new and better jobs to replace them. Fortunately, a variety of new technologies are being developed to improve our food system. Most of the protocols we use today were developed decades ago by academia and government. Like previous gold rushes, this could lead to speculative excess, but also dramatically increased funding for new technologies and infrastructure. People sometimes think VR and AR will be used only for gaming, but over time they will be used for all sorts of activities. Today, human life expectancy is over 70 years, less that 10% of the global population lives in extreme poverty, and over 80% of people are literate. There are many exciting new technologies that will continue to transform the world and improve human welfare. Compared to traditional farms, automated indoor farms use roughly 10 times less water and land."
Tal Perry,Deep Learning the Stock Market – Tal Perry – Medium,"In Eidnes’ example, the output of the LSTMs is a vector that represents what the next word will be in some abstract space. In Karpathy’s example, the output of the LSTMs is a vector that represents the next character in some abstract representation. Going deeper
I want to point out that this is where we start to get into the deep part of deep learning. Lars inputs a sequence of Word Vectors and each one of them:
We’re going to do the same thing with one difference, instead of word vectors we’ll input “MarketVectors”, those market vectors we described before. Then we’ll get a sequence that looks like:
We want to take the vector that our LSTMs output and squish it so that it gives us the probability of the next item in our sequence being a 1. But, I want to achieve something specific with the first layer, the one that takes as input the 4000 dimensional vector and outputs a 300 dimensional one. Where Karpathy used characters, we’re going to use our market vectors and feed them into the magic black box. Now each output of the previous LSTM becomes the inputs of the next LSTM, and each one goes on to learn higher abstractions of the data coming in. So I’ll get back to the mechanics of that magic box in a second, but let me remind you that we want to predict the future market based on the past just like he predicted the next word based on the previous one. (Remember, a “word vector” is a representation of a word in the form of a bunch of numbers, like we saw in the beginning of this post)."
Gil Fewster,The mind-blowing AI announcement from Google that you probably missed.,"Up until September of last year, Google Translate used phrase-based translation. All that changed in September, when Google gave their translation tool a new engine: the Google Neural Machine Translation system (GNMT). Phrase-based translation has no capacity to make educated guesses at words it doesn’t recognize, and can’t learn from new input. Not only was the article competing with the pre-Christmas rush that most of us were navigating — it was also tucked away on Google’s Research Blog, beneath the geektastic headline Zero-Shot Translation with Google’s Multilingual Neural Machine Translation System. Here’s Google’s Mike Schuster, Nikhil Thorat, and Melvin Johnson from the original blog post:
Here you can see an advantage of Google’s new neural machine over the old phrase-based approach. A neural computing system designed to translate content from one human language into another developed its own internal language to make the task more efficient. Which is a shame, because it may just be the most astonishing article about machine learning that I read last year. Google Translate invented its own language to help it translate more effectively. The short version is that Google Translate got smart. Phrase-based translation is a blunt instrument."
David Venturi,"Every single Machine Learning course on the internet, ranked by your reviews",It has a 4-star weighted average rating over 3 reviews. It has a 3.6-star weighted average rating over 5 reviews. It has a 4-star weighted average rating over 4 reviews. It has a 4.5-star weighted average rating over 6 reviews. It has a 2-star weighted average rating over 2 reviews. It has a 4.5-star weighted average rating over 2 reviews. Free and paid options available. Free and paid options available. Free and paid options available. Free and paid options available.
Vishal Maini,A Beginner’s Guide to AI/ML 🤖👶 – Machine Learning for Humans – Medium,"Part 2.1: Supervised Learning. Demystifying artificial intelligence & machine learning. Machine learning is a subfield of artificial intelligence. Part 1: Why Machine Learning Matters. And now, without further ado, let’s dive into machine learning with Part 2.1: Supervised Learning! Q-learning, policy learning, and deep reinforcement learning. Part 5: Reinforcement Learning. Part 2.2: Supervised Learning II. Part 2.3: Supervised Learning III. Part 4: Neural Networks & Deep Learning."
Tim Anglade,"How HBO’s Silicon Valley built “Not Hotdog” with mobile TensorFlow, Keras & React Native","A neural network can only be as good as the data that trained it, and improving training set quality was probably one of the top 3 things we spent time on during this project. The HBO show Silicon Valley released a real AI app that identifies hotdogs — and not hotdogs — like the one shown on season 4’s 4th episode (the app is now available on Android as well as iOS!) There were 3 main factors:
For these reasons, we started experimenting with what’s trendily called “edge computing”, which for our purposes meant that after training our neural network on our laptop, we would export it and embed it directly into our mobile app, so that the neural network execution phase (or inference) would run directly inside the user’s phone. First The nature of our problem meant a strong imbalance in training data: there are many more examples of things that are not hotdogs, than things that are hotdogs. The problem directly ahead of us was simple: if Inception and VGG were too big, was there a simpler, pre-trained neural network we could retrain? While the network (Inception in this case) may have been trained on the 14M images contained in ImageNet, we were able to retrain it on a just a few thousand hotdog images to get drastically enhanced hotdog recognition. The key things we did to improve this were:
The final composition of our dataset was 150k images, of which only 3k were hotdogs: there are only so many hotdogs you can look at, but there are many not hotdogs to look at. After adding Batch Normalization and ELU to SqueezeNet, we were able to train neural network that achieve 90%+ accuracy when training from scratch, however, they were relatively brittle meaning the same network would overfit in some cases, or underfit in others when confronted to real-life testing. I could build it in one weekend!” This app probably feels a lot like that, and the initial prototype was indeed built in a single weekend using Google Cloud Platform’s Vision API, and React Native. Most AI apps will hit more critical cultural biases than ours, but as an example, even our straightforward use-case, caught us flat-footed with built-in biases in our initial dataset, that made the app unable to recognize French-style hotdogs, Asian hotdogs, and more oddities we did not have immediate personal experience with."
Sophia Ciocca,How Does Spotify Know You So Well? – Member Feature Stories – Medium,"To create Discover Weekly, there are three main types of recommendation models that Spotify employs:
Let’s dive into how each of these recommendation models work! Then, much like in collaborative filtering, the NLP model uses these terms and weights to create a vector representation of the song that can be used to determine if two pieces of music are similar. Each of these individuals has track preferences: the one on the left likes tracks P, Q, R, and S, while the one on the right likes tracks Q, R, S, and T.
Collaborative filtering then uses that data to say:
“Hmmm... You both like three of the same tracks — Q, R, and S — so you are probably similar users. First, some background: When people hear the words “collaborative filtering,” they generally think of Netflix, as it was one of the first companies to use this method to power a recommendation model, taking users’ star-based movie ratings to inform its understanding of which movies to recommend to other similar users. Each row represents one of Spotify’s 140 million users — if you use Spotify, you yourself are a row in this matrix — and each column represents one of the 30 million songs in Spotify’s database. Luckily, raw audio models don’t discriminate between new tracks and popular tracks, so with their help, your friend’s song could end up in a Discover Weekly playlist alongside popular songs! The second type of recommendation models that Spotify employs are Natural Language Processing (NLP) models. But this model also serves a secondary purpose: unlike the first two types, raw audio models take new songs into account. Let’s zoom out for a second to look at how other music services have tackled music recommendations, and how Spotify’s doing it better. To find out which users’ musical tastes are most similar to mine, collaborative filtering compares my vector with all of the other users’ vectors, ultimately spitting out which users are the closest matches."
François Chollet,The impossibility of intelligence explosion – François Chollet – Medium,"The intelligence of a human is specialized in the problem of being human. The basic premise of intelligence explosion — that a “seed AI” will arise, with greater-than-human problem solving ability, leading to a sudden, recursive, runaway intelligence improvement loop — is false. The intelligence explosion narrative equates intelligence with the general problem-solving ability displayed by individual intelligent agents — by current human brains, or future electronic brains. Similarly, an AI with a superhuman brain, dropped into a human body in our modern world, would likely not develop greater capabilities than a smart contemporary human. Crucially, the civilization-level intelligence-improving loop has only resulted in measurably linear progress in our problem-solving abilities over time. If the gears of your brain were the defining factor of your problem-solving ability, then those rare humans with IQs far outside the normal range of human intelligence would live lives far outside the scope of normal lives, would solve problems previously thought unsolvable, and would take over the world — just as some people fear smarter-than-human AI will do. What would happen if we were to put a human — brain and body — into an environment that does not feature human culture as we know it? The reasoning behind intelligence explosion, like many of the early theories about AI that arose in the 1960s and 1970s, is sophistic: it considers “intelligence” in a completely abstract way, disconnected from its context, and ignores available evidence about both intelligent systems and recursively self-improving systems. This seed AI would start designing better AIs, initiating a recursive self-improvement loop that would immediately leave human intelligence in the dust, overtaking it by orders of magnitude in a short time. However, these billions of brains, accumulating knowledge and developing external intelligent processes over thousand of years, implement a system — civilization — which may eventually lead to artificial brains with greater intelligence than that of a single human."
Max Pechyonkin,Understanding Hinton’s Capsule Networks. Part I: Intuition.,"Capsules introduce a new building block that can be used in deep learning to better model hierarchical relationships inside of internal knowledge representation of a neural network. In the same fashion, the idea of capsules itself is not that new and Hinton has mentioned it before, but there was no algorithm up until now to make it work. In addition to that, the team published an algorithm, called dynamic routing between capsules, that allows to train such a network. Hinton and his team proposed a way to train such a network made up of capsules and successfully trained it on a simple data set, achieving state-of-the-art performance. And the key idea is that representation of objects in the brain does not depend on view angle. This algorithm is called “dynamic routing between capsules”. Another benefit of the capsule approach is that it is capable of learning to achieve state-of-the art performance by only using a fraction of the data that a CNN would use (Hinton mentions this in his famous talk about what is wrongs with CNNs). They are one of the reasons deep learning is so popular today. Computer graphics deals with constructing a visual image from some internal hierarchical representation of geometric data. CNN approach to solve this issue is to use max pooling or successive convolutional layers that reduce spacial size of the data flowing through the network and therefore increase the “field of view” of higher layer’s neurons, thus allowing them to detect higher order features in a larger region of the input image."
Slav Ivanov,"The $1700 great Deep Learning box: Assembly, setup and benchmarks","We see that the GTX 1080 Ti is 2.4 times faster than the K80 on AWS P2 in training the model. We time training models on: AWS P2 instance GPU (K80), AWS P2 virtual CPU, the GTX 1080 Ti and Intel i5 7500 CPU. The 1080 Ti is 5.5 times faster that the AWS GPU (K80). And GTX 1080 Ti is about 30% faster than GTX 1080. The choice is between a few of Nvidia’s cards: GTX 1070, GTX 1070 Ti, GTX 1080, GTX 1080 Ti and finally the Titan X. The GTX 1080 Ti outperforms the AWS K80 by a factor of 4.3. The new GTX 1070 Ti is very close in performance to GTX 1080. The GTX 1080 Ti finishes 5.5x faster than the AWS P2 K80, which is in line with the previous results. On performance side: GTX 1080 Ti and Titan X are similar. Here are the things to consider when picking a GPU:
Considering all of this, I picked the GTX 1080 Ti, mainly for the training speed boost."
Geoff Nesnow,73 Mind-Blowing Implications of a Driverless Future,"There are so many technical, economic, safety advantages to the transportation-as-a-service that this change may come much faster than most people expect. Roads will be much emptier and smaller (over time) as self-driving cars need much less space between them (a major cause of traffic today), people will share vehicles more than today (carpooling), traffic flow will be better regulated and algorithmic timing (i.e. This too may become part of integrated, multi-modal transportation. Consumers will have more money as transportation (a major cost, especially for lower income people and families) gets much cheaper and ubiquitous — though this may be offset by dramatic reductions in employment as technology changes many times faster than people’s ability to adapt to new types of work
22. This includes drivers (which is in many states today the most common job), mechanics, gas station employees, most of the people who make cars and car parts or support those who do (due to huge consolidation of makers and supply chains and manufacturing automation), the marketing supply chain for vehicles, many people who work on and build roads/bridges, employees of vehicle insurance and financing companies (and their partners/suppliers), toll booth operators (most of whom have already been displaced), many employees of restaurants that support travelers, truck stops, retail workers and all the people whose businesses support these different types of companies and workers. Autonomous vehicles will radically change the power centers of the world. Cities will become much more dense as fewer roads and vehicles will be needed and transport will be cheaper and more available. Unmanned police vehicles may become more common and police officers may use commercial transportation to move around routinely. Vehicle designs will change radically — vehicles won’t need to withstand crashes in the same way, all vehicles will be electric (self-driving + software + service providers = all electric). Many additional on demand services will become available as transportation for goods and services becomes more ubiquitous and cheaper."
Blaise Aguera y Arcas,Do algorithms reveal sexual orientation or just expose our stereotypes?,"The results show that lesbians indeed use eyeshadow much less than straight women do, gay men and women do both wear glasses more, and young opposite-sex-attracted men are considerably more likely to have prominent facial hair than their gay or same-sex-attracted peers. However, asking the question “Do you like how you look in glasses?” reveals that this is likely more of a stylistic choice:
Same-sex attracted women also report wearing glasses more, as well as liking how they look in glasses more, across a range of ages:
One can also see how opposite-sex attracted women under the age of 40 wear contact lenses significantly more than same-sex attracted women, despite reporting that they have a vision defect at roughly the same rate, further illustrating how the difference is driven by an aesthetic preference: [4]
Similar analysis shows that young same-sex attracted men are much less likely to have hairy faces than opposite-sex attracted men (“serious facial hair” in our plots is defined as answering “yes” to having a goatee, beard, or moustache, but “no” to stubble). Overall, opposite-sex attracted men in our sample are 35% more likely to have serious facial hair than same-sex attracted men, and for men under the age of 31 (who are overrepresented on dating websites), this rises to 75%. In the following figures, we show the proportion of women who answer “yes” to “Do you ever use makeup?” (top) and “Do you wear eyeshadow?” (bottom), averaged over 6-year age intervals:
The blue curves represent strictly opposite-sex attracted women (a nearly identical set to those who answered “yes” to “Are you heterosexual or straight?”); the cyan curve represents women who answer “yes” to either or both of “Are you sexually attracted to women?” and “Are you romantically attracted to women?”; and the red curve represents women who answer “yes” to “Are you homosexual, gay or lesbian?”. [2] The patterns revealed here are intuitive; it won’t be breaking news to most that straight women tend to wear more makeup and eyeshadow than same-sex attracted and (even more so) lesbian-identifying women. This is consistent with a pattern of heterosexual men on average shooting from below, heterosexual women from above as the wedding photographer suggests, and gay men and lesbian women from directly in front. Our survey confirms that opposite-sex attracted men consistently self-report having a tan face (“Yes” to “Is your face tan?”) slightly more often than same-sex attracted men:
Once again Wang and Kosinski reach for a hormonal explanation, writing: “While the brightness of the facial image might be driven by many factors, previous research found that testosterone stimulates melanocyte structure and function leading to a darker skin”. The fact that we see a cohort of same-sex attracted men in their 40s who have just as much facial hair as opposite-sex attracted men suggests a different story, in which fashion trends and cultural norms play the dominant role in choices about facial hair among men, not differing exposure to hormones early in development. Composite images of the lesbian, gay, and straight men and women in the sample reveal a great deal about the information available to the algorithm:
Clearly there are differences between these four composite faces. That same-sex attracted men of most ages wear glasses significantly more than exclusively opposite-sex attracted men do might be a bit less obvious, but this trend is equally clear: [3]
A proponent of physiognomy might be tempted to guess that this is somehow related to differences in visual acuity between these populations of men."
François Chollet,What worries me about AI – François Chollet – Medium,"Remarkably, mass population manipulation — in particular political control — arising from placing AI algorithms in charge of our information diet does not necessarily require very advanced AI. You may be thinking, since a search engine is still an AI layer between us and the information we consume, could it bias its results to attempt to manipulate us? Increasingly, social network services are in control of what information we consume. In short, social network companies can simultaneously measure everything about us, and control the information we consume. And like many time in the past, we are worried that this new set of technologies will harm us — that AI will lead to mass unemployment, or that AI will gain an agency of its own, become superhuman, and choose to destroy us. As our lives become increasingly digital and connected, and as our world becomes increasingly information-intensive, we will need AI to serve as our interface to the world. In summary, our future is one where AI will be our interface to the world — a world made of digital information. This casts human behavior as an optimization problem, as an AI problem: it becomes possible for social media companies to iteratively tune their control vectors in order to achieve specific behaviors, just like a game AI would iterative refine its play strategy in order to beat a level, driven by score feedback. The human mind is a static, vulnerable system that will come increasingly under attack from ever-smarter AI algorithms that will simultaneously have a complete view of everything we do and believe, and complete control of the information we consume. At the same time, they gain increasing access to behavioral control vectors — in particular via algorithmic newsfeeds, which control our information consumption."
Simon Greenman,Who Is Going To Make Money In AI? Part I – Towards Data Science,"No wonder it is a brutal race for global AI algorithm dominance with Amazon — Microsoft — IBM also offering their own cheap or free AI software services. And there are few key themes appearing as to where the economic value will migrate:
In short it looks like the AI gold rush will favour the companies and countries with control and scale over the best AI tools and technology, the data, the best technical workers, the most customers and the strongest access to capital. Today there are over 200 AI powered companies just in the recruitment space, many of them AI startups. Data is the fuel for AI and machine learning. And the incredible AI machine learning software and algorithms that are powering all of Google’s AI activity — TensorFlow — is now being given away for free. And Microsoft is building its own Brainwave AI machine learning chips. We are in the midst of a gold rush in AI. But like any gold rush many startups will hit pay dirt. If millions of companies use this best in class free AI software then they are likely to need lots of computing power. However there is likely to be a period of upheaval when much of the value will go to those few companies and countries that control AI technology and data."
Aman Agarwal,Explained Simply: How an AI program mastered the ancient game of Go,"As you would remember, this network can directly take a board position and decide how an expert would play it — so you can use it to single-handedly play games.Well, the result was that the RL fine-tuned network won against the SL network that was only trained on human moves. Use a value function (Foma) to predict outcomes, and use a policy function (Lusha) to give you grand-master probabilities to help narrow down the moves you roll out. Now back to Foma — remember the “optimal value function”: v*(s) -> that only tells you how likely you are to win in your current board position if both players play perfectly from that point on?So obviously, to train an NN to become our value function, we would need a perfect player... which we don’t have. But in the case of the value function (which you would remember uses a strong player to approximate a perfect player), training Foma using the RL policy works better than training her with the SL policy. Once you have the SL network, trained in a supervised manner using human player moves with the human moves data, as I said before you have to let her practice by itself and get better. And this is why RL is so versatile; it can be used to train policy or value networks for any game, not just Go. After that, once you’ve trained both of the slow and fast policy networks enough using human player data, you can try letting Lusha play against herself on a Go board for a few days, and get more practice. To train the policy network (predicting for a given position which moves experts would pick), you simply use examples of human games and use them as data for good old supervised learning. They trained a “policy neural network” to decide which are the most sensible moves in a particular board position (so it’s like following an intuitive strategy to pick moves from any position). In a game like Chess or Go, as we said before, if you try to imagine even 7–8 moves into the future, there can be so many possible positions that you don’t have enough time to check all of them with Foma."
Lance Ulanoff,Did Google Duplex just pass the Turing Test? – Lance Ulanoff – Medium,"Duplex made the call and, when someone at the salon picked up, the voice AI started the conversation with:
“Hi, I’m calling to book a woman’s hair cut appointment for a client, um, I’m looking for something on May third?”
When the attendant asked Duplex to give her one second, Duplex responded with:
“Mmm-hmm.”
The conversation continued as the salon representative presented various dates and times and the AI asked about other options. The entity making the call and appointment was Google Assistant running Duplex, Google’s still experimental AI voice system and the venue was Google I/O, Google’s yearly developer conference, which this year focused heavily on the latest developments in AI, Machine- and Deep-Learning. It was easily the most remarkable human-computer conversation I’d ever heard and the closest thing I’ve seen a voice AI passing the Turing Test, which is the AI threshold suggested by Computer Scientist Alan Turing in the 1950s. What I heard was so convincing I had trouble discerning who was the salon worker and who (what) was the Duplex AI. Google Assistant running Duplex didn’t exhibit any of those short comings. Eventually, we’ll have our Duplex voices call each other, handling pleasantries and making plans, which Google Assistant can then drop in our Google Calendar. So, no, Duplex didn’t pass the Turing test, but I do wonder what Alan Turing would think of it. Eventually, the AI and the salon worker agreed on an appointment date and time. He launched Duplex by asking Google Assistant to book a haircut appointment for Tuesday morning. This conversation had a purpose, a destination: to make an appointment at a hair salon."
Gant Laborde,Machine Learning: how to go from Zero to Hero – freeCodeCamp,"If you want to do something new, not just new to you, but to the world, you can do it with ML. Even if you’re not a Java buff, the presentation Jim gives on all things Machine Learning is a pretty cool 1.5+ hour introduction into ML concepts, which includes more info on many of the examples above. It’s cool watching data go through a trained model, but you can even watch your neural network get trained. But more so, if you do make it through, you’ll have a deep understanding of the implementation of Machine Learning that will catapult you into successfully applying it in new and world-changing ways. So how does something like that even work? You can teach a computer to play video games, understand language, and even how to identify people or things. In this approach, you’ll understand Machine Learning down to the algorithms and the math. The only problem is we don’t know Machine Learning, and we don’t know how to hook it up to video games. One of the classic real-world examples of Machine Learning in action is the iris data set from 1936. I’m talking about Machine Learning."
Emmanuel Ameisen,Reinforcement Learning from scratch – Insight Data,"We learn our policy directly with policy gradients (defined above), and learn a value function using something called Advantage. While the value function tells us how good we estimate each action to be, the policy is the function that determines which actions we end up taking. 4+/Leveraging deep learning for representations
In practice, many state of the art RL methods require learning both a policy and value estimates. This allows us to learn a good value function. On-policy methods can only learn from actions that were taken following our policy (remember, a policy is the method we use to determine which actions to take). Previously, we were first learning a value function Q for each action in each state and then building a policy on top. The approach we will use here is called Policy Gradients, and is an on-policy method. We will use a method called Temporal Difference (TD) learning to learn a good Q function. In Vanilla Policy Gradient, we still use Monte Carlo Estimates, but we learn our policy directly through a loss function that increases the probability of choosing rewarding actions. A note about off-policy vs on-policy learning: The methods we used previously, are off-policy methods, meaning we can generate data with any strategy(using epsilon greedy for example) and learn from it."
Irhum Shafkat,Intuitively Understanding Convolutions for Deep Learning,"Each filter in a convolution layer produces one and only one output channel, and they do it like so:
Each of the kernels of the filter “slides” over their respective input channels, producing a processed version of each. Even if were we to apply a kernel of the same size (3×3), having the same local area, to the output of the strided convolution, the kernel would have a larger effective receptive field:
This is because the output of the strided layer still does represent the same image. If this were a standard fully connected layer, you’d have a weight matrix of 25×9 = 225 parameters, with every output feature being the weighted sum of every single input feature. The output features are essentially, the weighted sums (with the weights being the values of the kernel itself) of the input features located roughly in the same location of the output pixel on the input layer. Each filter actually happens to be a collection of kernels, with there being one kernel for every single input channel to the layer, and each kernel being unique. Convolutions allow us to do this transformation with only 9 parameters, with each output feature, instead of “looking at” every input feature, only getting to “look” at input features coming from roughly the same location. And with the single filter case down, the case for any number of filters is identical: Each filter processes the input with its own, different set of kernels and a scalar bias with the process described above, producing a single output channel. Followed by a final pooling layer, which collapses each 7×7 grid into a single pixel, each channel is a feature detector with a receptive field equivalent to the entire image. Both are methods of increasing the receptive field, but dilated convolutions are a single layer, while this takes place on a regular convolution following a strided convolution, with a nonlinearity inbetween)
This expansion of the receptive field allows the convolution layers to combine the low level features (lines, edges), into higher level features (curves, textures), as we see in the mixed3a layer. The kernels of a filter each produce one version of each channel, and the filter as a whole produces one overall output channel."
Abhishek Parbhakar,Must know Information Theory concepts in Deep Learning (AI),"Cross entropy between two probability distributions p and q defined over same set of outcomes is given by:
Mutual information is a measure of mutual dependency between two probability distributions or random variables. The probability distribution of experiment is used to calculate the entropy. Mutual information of two discrete random variables X and Y is defined as:
where p(x,y) is the joint probability distribution of X and Y, and p(x) and p(y) are the marginal probability distribution of X and Y respectively. Cross entropy is used to compare two probability distributions. KL divergence between ‘P’ and ‘Q’ tells us how much information we lose when we try to approximate data given by ‘P’ with ‘Q’. Entropy gives a measure of uncertainty in an experiment. KL divergence of a probability distribution Q from another probability distribution P is defined as:
KL divergence is commonly used in unsupervised machine learning technique Variational Autoencoders. For example, in an deterministic experiment, we always know the outcome, so no new information gained is here from observing the outcome and hence entropy is zero. The information gained for a outcome of an experiment is defined as a function of probability of occurrence of that outcome. KL divergence is another measure to find similarities between two probability distributions."
